Designator,Mid X,Mid Y,Rotation,Layer
C1,11.013,2.601,90.0,bottom
C2,5.933,2.601,90.0,bottom
C3,22.697,108.519,270.0,bottom
C4,25.237,7.681,90.0,bottom
C5,25.237,1.331,180.0,bottom
D1,21.16,78.933,90.0,bottom
D10,59.36,59.853,90.0,bottom
D11,59.31,40.853,90.0,bottom
D12,59.31,21.853,90.0,bottom
D13,78.36,78.933,90.0,bottom
D14,78.36,59.853,90.0,bottom
D15,78.36,40.853,90.0,bottom
D16,78.36,21.853,90.0,bottom
D17,53.177,6.411,0.0,bottom
D18,53.177,3.363,0.0,bottom
D2,21.18,59.853,90.0,bottom
D3,21.16,40.893,90.0,bottom
D33,34.381,4.887,90.0,bottom
D4,21.21,21.853,90.0,bottom
D5,40.31,78.933,90.0,bottom
D6,40.31,59.853,90.0,bottom
D7,40.21,40.893,90.0,bottom
D8,40.21,21.893,90.0,bottom
D9,59.36,78.933,90.0,bottom
J1,65.879225,103.77,180.0,top
J2,43.239,2.691,0.0,bottom
J3,44.287,117.207,180.0,bottom
L1,11.525001,74.864842,0.0,top
L10,30.685001,36.764842,0.0,top
L11,49.835001,36.764842,0.0,top
L12,68.835001,36.764842,0.0,top
L13,68.934999,17.509158,180.0,top
L14,49.934999,17.509158,180.0,top
L15,30.834999,17.509158,180.0,top
L16,11.784999,17.509158,180.0,top
L2,30.685001,74.864842,0.0,top
L3,49.835001,74.864842,0.0,top
L4,68.935001,74.864842,0.0,top
L5,68.934999,55.609158,180.0,top
L6,49.884999,55.609158,180.0,top
L7,30.834999,55.609158,180.0,top
L8,11.834999,55.609158,180.0,top
L9,11.685001,36.764842,0.0,top
Q1,29.317,4.379,180.0,bottom
R1,17.109,4.0215,270.0,bottom
R10,79.095,112.098,90.0,bottom
R11,24.221,103.185,270.0,bottom
R12,24.475,95.565,90.0,bottom
R13,67.147,113.601,90.0,bottom
R14,69.687,113.601,90.0,bottom
R2,57.241,6.411,180.0,bottom
R3,57.241,3.363,180.0,bottom
R4,75.6795,3.871,0.0,bottom
R5,71.211,3.871,0.0,bottom
R6,42.001,110.805,0.0,bottom
R7,47.1845,110.805,180.0,bottom
R8,27.015,4.887,270.0,bottom
R9,79.593,100.924,90.0,bottom
SW1,11.525,81.023,0.0,top
SW10,49.835,61.943,0.0,top
SW11,49.835,42.943,0.0,top
SW12,49.835,23.943,0.0,top
SW13,68.835,81.023,0.0,top
SW14,68.835,61.943,0.0,top
SW15,68.835,42.943,0.0,top
SW16,68.835,23.943,0.0,top
SW17,80.2155,113.0408,270.0,bottom
SW18,31.281,103.149,180.0,bottom
SW19,31.343,95.336,180.0,bottom
SW2,11.655,61.943,0.0,top
SW3,11.685,42.983,0.0,top
SW4,11.685,23.943,0.0,top
SW5,30.685,81.023,0.0,top
SW6,30.685,61.983,0.0,top
SW7,30.685,42.983,0.0,top
SW8,30.685,23.983,0.0,top
SW9,49.835,81.023,0.0,top
U1,11.751,104.437,0.0,bottom
U2,21.997,4.309,270.0,bottom
U3,8.473,3.109,0.0,bottom
